Time,ADS Pressure,P/F ratio,Purity
199,4,2.23E-07,0.997264
199,4,2.23E-07,0.99733
199,4,2.23E-07,0.996984
199,4,2.23E-07,0.996704
199,4,2.23E-07,0.996736
205,3.57,2.62E-07,0.995612
205,3.57,2.62E-07,0.992334
205,3.57,2.62E-07,0.990042
205,3.57,2.62E-07,0.989081
205,3.57,2.62E-07,0.988768
219,3.61,2.22E-07,0.974164
219,3.61,2.22E-07,0.966237
219,3.61,2.22E-07,0.963873
219,3.61,2.22E-07,0.962416
219,3.61,2.22E-07,0.962129
212,3.98,1.77E-07,0.979353
212,3.98,1.77E-07,0.986611
212,3.98,1.77E-07,0.98859
212,3.98,1.77E-07,0.989071
212,3.98,1.77E-07,0.989258
212,3.98,1.77E-07,0.989759
212,3.98,1.77E-07,0.989339
212,3.98,1.77E-07,0.989345
212,3.98,1.77E-07,0.989347
212,3.98,1.77E-07,0.989348
204,4.02,1.80E-07,0.992307
204,4.02,1.80E-07,0.993952
204,4.02,1.80E-07,0.994543
204,4.02,1.80E-07,0.994965
204,4.02,1.80E-07,0.994885
214,4.19,1.94E-07,0.993392
214,4.19,1.94E-07,0.992577
214,4.19,1.94E-07,0.992275
214,4.19,1.94E-07,0.992457
214,4.19,1.94E-07,0.99243
228,4.15,2.54E-07,0.981347
228,4.15,2.54E-07,0.966325
228,4.15,2.54E-07,0.959934
228,4.15,2.54E-07,0.958083
228,4.15,2.54E-07,0.957584
228,4.15,2.54E-07,0.959133
228,4.15,2.54E-07,0.957437
228,4.15,2.54E-07,0.958124
228,4.15,2.54E-07,0.958026
228,4.15,2.54E-07,0.95781
210,3.33,2.15E-07,0.964334
210,3.33,2.15E-07,0.968244
210,3.33,2.15E-07,0.969295
210,3.33,2.15E-07,0.969717
210,3.33,2.15E-07,0.969792
220,3.81,2.59E-07,0.966818
220,3.81,2.59E-07,0.970115
220,3.81,2.59E-07,0.971598
220,3.81,2.59E-07,0.971829
220,3.81,2.59E-07,0.972185
179,3.71,1.88E-07,0.989719
179,3.71,1.88E-07,0.995858
179,3.71,1.88E-07,0.996874
179,3.71,1.88E-07,0.996835
179,3.71,1.88E-07,0.996877
179,3.71,1.88E-07,0.997102
179,3.71,1.88E-07,0.997157
179,3.71,1.88E-07,0.997175
179,3.71,1.88E-07,0.997
179,3.71,1.88E-07,0.996972
217,3.17,2.46E-07,0.98792
217,3.17,2.46E-07,0.953455
217,3.17,2.46E-07,0.937524
217,3.17,2.46E-07,0.933007
217,3.17,2.46E-07,0.931827
185,3.43,1.89E-07,0.979065
185,3.43,1.89E-07,0.99295
185,3.43,1.89E-07,0.995649
185,3.43,1.89E-07,0.996579
185,3.43,1.89E-07,0.996768
198,5,2.60E-07,0.995713
198,5,2.60E-07,0.996333
198,5,2.60E-07,0.996368
198,5,2.60E-07,0.996568
198,5,2.60E-07,0.996209
198,5,2.60E-07,0.996133
198,5,2.60E-07,0.996134
198,5,2.60E-07,0.996129
198,5,2.60E-07,0.996126
198,5,2.60E-07,0.996122
217,4.86,2.28E-07,0.996967
217,4.86,2.28E-07,0.996602
217,4.86,2.28E-07,0.996171
217,4.86,2.28E-07,0.995589
217,4.86,2.28E-07,0.995631
196,4.53,2.75E-07,0.995635
196,4.53,2.75E-07,0.996194
196,4.53,2.75E-07,0.996384
196,4.53,2.75E-07,0.996832
196,4.53,2.75E-07,0.996797
173,3.3,1.78E-07,0.997476
173,3.3,1.78E-07,0.997508
173,3.3,1.78E-07,0.997395
173,3.3,1.78E-07,0.997668
173,3.3,1.78E-07,0.997448
173,3.3,1.78E-07,0.997757
173,3.3,1.78E-07,0.997648
173,3.3,1.78E-07,0.997467
173,3.3,1.78E-07,0.997427
173,3.3,1.78E-07,0.997411
181,4.01,2.70E-07,0.996951
181,4.01,2.70E-07,0.996788
181,4.01,2.70E-07,0.996535
181,4.01,2.70E-07,0.996906
181,4.01,2.70E-07,0.996568
173,3.1,2.08E-07,0.997459
173,3.1,2.08E-07,0.997765
173,3.1,2.08E-07,0.997822
173,3.1,2.08E-07,0.997848
173,3.1,2.08E-07,0.997848
210,4.27,1.75E-07,0.99733
210,4.27,1.75E-07,0.995569
210,4.27,1.75E-07,0.99388
210,4.27,1.75E-07,0.993312
210,4.27,1.75E-07,0.993079
210,4.27,1.75E-07,0.993013
210,4.27,1.75E-07,0.993114
210,4.27,1.75E-07,0.992788
210,4.27,1.75E-07,0.992729
210,4.27,1.75E-07,0.992773
187,4.64,2.76E-07,0.993548
187,4.64,2.76E-07,0.995093
187,4.64,2.76E-07,0.995538
187,4.64,2.76E-07,0.99567
187,4.64,2.76E-07,0.995728
199,4.87,2.40E-07,0.996154
199,4.87,2.40E-07,0.996216
199,4.87,2.40E-07,0.99644
199,4.87,2.40E-07,0.996237
199,4.87,2.40E-07,0.996204
178,3.32,2.15E-07,0.997313
178,3.32,2.15E-07,0.997397
178,3.32,2.15E-07,0.997385
178,3.32,2.15E-07,0.997337
178,3.32,2.15E-07,0.997311
178,3.32,2.15E-07,0.997291
178,3.32,2.15E-07,0.997284
178,3.32,2.15E-07,0.997277
178,3.32,2.15E-07,0.99727
178,3.32,2.15E-07,0.997263
223,3.6,2.31E-07,0.984026
223,3.6,2.31E-07,0.956203
223,3.6,2.31E-07,0.944623
223,3.6,2.31E-07,0.94152
223,3.6,2.31E-07,0.941099
191,4.51,2.05E-07,0.982425
191,4.51,2.05E-07,0.994056
191,4.51,2.05E-07,0.995772
191,4.51,2.05E-07,0.996147
191,4.51,2.05E-07,0.996497
181,3.91,1.96E-07,0.996957
181,3.91,1.96E-07,0.996948
181,3.91,1.96E-07,0.996745
181,3.91,1.96E-07,0.99672
181,3.91,1.96E-07,0.997046
181,3.91,1.96E-07,0.996981
181,3.91,1.96E-07,0.996777
181,3.91,1.96E-07,0.996743
181,3.91,1.96E-07,0.997059
181,3.91,1.96E-07,0.996794
218,3.97,1.71E-07,0.996247
218,3.97,1.71E-07,0.988254
218,3.97,1.71E-07,0.981977
218,3.97,1.71E-07,0.979553
218,3.97,1.71E-07,0.978656
171,4.76,1.90E-07,0.988851
171,4.76,1.90E-07,0.993864
